Set,Price_Euro,Pieces,Minifigs
LEGO Movie Maker,49.99,482,
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,
Unikitty's Sweetest Friends EVER!,9.99,76,
Emmet's Thricycle!,14.99,174,
Introducing Queen Watevra Wa'Nabi,19.99,115,
Queen Watevra's Build Whatever Box!,39.99,455,
Rex's Rex-treme Offroader!,29.99,236,
Ultrakatty & Warrior Lucy!,29.99,348,
Pop-Up Party Bus,89.99,1024,
Emmet and Lucy's Escape Buggy!,49.99,550,
Sweet Mayhem's Systar Starship!,69.99,502,
Emmet's Dream House/Rescue Rocket!,59.99,706,
Emmet's Builder Box!,29.99,125,
Lucy's Builder Box!,29.99,141,
MetalBeard's Heavy Metal Motor Trike!,59.99,461,
Rex's Rexplorer!,119.99,1187,
Battle-Ready Batman and MetalBeard,19.99,168,
Shimmer & Shine Sparkle Spa!,69.99,691,
Queen Watevra's 'So-Not-Evil' Space Palace,99.99,995,
The Rexcelsior!,149.99,1826,
Welcome to Apocalypseburg!,299.99,3178,
Benny's Space Squad,9.99,68,
Emmet's Triple-Decker Couch Mech,29.99,312,
Good Morning Sparkle Babies!,9.99,50,
Systar Party Crew,19.99,196,
Wyld-Mayhem Star Fighter,49.99,405,
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,0,
Awesome Remix Emmet,,7,
Battle-Ready Lucy,,8,
Apocalypse Benny,,8,
Giraffe Guy,,6,
Crayon Girl,,6,
Sherry Scratchen-Post & Scarfield,,6,
Hula Lula,,8,
Watermelon Dude,,6,
Flashback Lucy,,7,
Swamp Creature,,6,
Candy Rapper,,8,
Gone Golfin' President Business,,6,
Apocalypseburg Abe,,7,
Vest Friend Rex,,6,
Kitty Pop,,7,
Dorothy Gale & Toto,,7,
Cowardly Lion,,6,
Scarecrow,,6,
Tin Man,,8,
Unikitty,,15,
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,144,
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,0,
LEGO Minifigures - Disney Series 2 {Random bag},,0,
Vintage Mickey,3.99,6,
Vintage Minnie,3.99,7,
Huey Duck,3.99,7,
Dewey Duck,3.99,7,
Louie Duck,3.99,8,
Scrooge McDuck,3.99,8,
Chip,3.99,6,
Dale,3.99,5,
Elsa,3.99,7,
Anna,3.99,8,
Jafar,3.99,8,
Jasmine,3.99,6,
Hades,3.99,6,
Hercules,3.99,8,
Sally,3.99,7,
Jack Skellington,3.99,10,
Edna Mode,3.99,8,
Frozone,3.99,7,
LEGO Minifigures - Disney Series 2 - Complete,,129,
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,0,
LEGO Minifigures - Series 19 {Random Bag},,0,
Video Game Champ,,7,
Shower Guy,,8,
Fright Knight,,9,
Monkey King,,12,
Programmer,,10,
Mummy Queen,,6,
Jungle Explorer,,8,
Fire Fighter,,6,
Dog Sitter,,9,
Pizza Costume Guy,,6,
Galactic Bounty Hunter,,8,
Gardener,,7,
Rugby Player,,6,
Fox Costume Girl,,8,
Bear Costume Guy,,7,
Mountain Biker,,10,
LEGO Minifigures - Series 19 - Complete,3.99,127,
LEGO Minifigures - Series 19 - Sealed Box,,0,
Disney Train and Station,329.99,2925,
Naboo Starfighter Microfighter,9.99,62,
Sith Infiltrator Microfighter,9.99,92,
Elite Praetorian Guard Battle Pack,14.99,109,
Inferno Squad Battle Pack,14.99,118,
Darth Vader Bust,,327,
Escape Pod vs. Dewback Microfighters,19.99,177,
Death Star Escape,29.99,329,
Kylo Ren & Sith Trooper,19.99,240,
Droid Gunship,59.99,389,
AT-AP Walker,68.23,689,
X-wing Starfighter Trench Run,29.23,132,
Duel on Starkiller Base,19.99,191,
TIE Fighter Attack,19.99,77,
Action Battle Endor Assault,29.23,193,
Action Battle Hoth Generator Attack,29.23,235,
Major Vonreg's TIE Fighter,68.23,496,
Action Battle Echo Base Defense,58.48,504,
Black Ace TIE Interceptor,48.73,396,
Slave I - 20th Anniversary Edition,116.97,1007,
Tantive IV,194.95,1768,
LEGO Star Wars Advent Calendar,29.99,280,
Death Star Cannon,19.49,159,
Rebel A-wing Starfighter,14.99,62,
Resistance A-wing Starfighter,29.23,269,
Resistance Y-wing Starfighter,69.99,578,
Pasaana Speeder Chase,48.73,373,
Darth Vader's Castle,129.99,1060,
Imperial Star Destroyer,699.99,4784,
Droid Commander,194.95,1177,
AT-ST Raider,59.99,540,
Yoda,119.99,1771,
Kylo Ren's Shuttle,119.99,1005,
Millennium Falcon,169.99,1351,
Anakin's Podracer – 20th Anniversary Edition,29.23,279,
Snowspeeder – 20th Anniversary Edition,39.99,309,
Clone Scout Walker – 20th Anniversary Edition,29.99,250,
Imperial Dropship – 20th Anniversary Edition,19.99,125,
Mini Boost Droid Commander,,62,
The Upside Down,199.99,2287,
Ferrari F40 Competizione,14.99,198,
Chevrolet Camaro ZL1 Race Car,14.99,198,
McLaren Senna,14.99,219,
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,39.99,478,
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,48.73,481,
1974 Porsche 911 Turbo 3.0,14.99,180,
Dilophosaurus on the Loose,24.36,168,
Baryonyx Face-Off: The Treasure Hunt,59.99,434,
Jurassic Park: T. rex Rampage,249.99,3120,
Triceratops Rampage,58.48,447,
T. rex vs Dino-Mech Battle,87.72,716,
Expecto Patronum,19.49,121,
Hungarian Horntail Triwizard Challenge,34.11,265,
Hagrid's Hut: Buckbeak's Rescue,59.99,496,
Hogwarts Clock Tower,99.99,922,
The Knight Bus,39.99,403,
Beauxbatons' Carriage: Arrival at Hogwarts ,48.73,430,
LEGO Harry Potter Advent Calendar,24.99,305,
The Rise of Voldemort,19.49,184,
Tracer vs. Widowmaker,14.99,129,
Hanzo vs. Genji,24.36,197,
Dorado Showdown,29.99,419,
D.Va & Reinhardt,39.99,455,
Bastion,58.48,602,
Watchpoint: Gibraltar,87.72,730,
Wrecking Ball,19.49,227,
Junkrat & Roadhog,48.73,380,
Spider-Man Bike Rescue,24.36,235,
Spider-Man's Spider Crawler,38.98,418,
Spider Mech vs. Venom,48.73,604,
Batman Batsub and the Underwater Clash,24.99,174,
Batman Mech vs. Poison Ivy Mech ,39.99,375,
Mr. Freeze Batcycle Battle,24.36,200,
Batmobile: Pursuit of The Joker,29.23,342,
Batwing and The Riddler Heist,48.73,489,
Batcave Clayface Invasion,97.47,1038,
Captain America: Outriders Attack,24.36,167,
War Machine Buster,34.11,362,
Iron Man Hall of Armor,59.99,524,
Avengers Ultimate Quinjet,77.97,838,
Captain Marvel and The Skrull Attack,29.23,307,
Molten Man Battle,29.23,294,
Hydro-Man Attack,39.99,471,
Stark Jet and the Drone Attack,58.48,504,
Avengers Compound Battle,97.47,699,
Spider-Man Car Chase,9.99,52,
Spider-Man: Doc Ock Diamond Heist,29.99,150,
Batman vs. The Riddler Robbery,9.74,59,
Batman and The Joker Escape,38.98,171,
1989 Batmobile,249.99,3306,
Avengers Hulk Helicopter Rescue,58.48,482,
Sith Trooper Bust,,484,
Captain Marvel and the Asis,,271,
The Dark Knight of Gotham City,,427,
Chinese New Year's Eve Dinner,,615,
Dragon Dance,,622,
Dragon Boat Race,49.99,643,
Koi,,293,
Shark Skin,,31,
Splash Koi Skin,,33,
Ink Koi Skin,,33,
Boost Hub,79.99,1,
